"V","H","S","M"
0.338156758,0,"Dry and Sandy","NA"
0.320241334,0.181818182,"Dry and Sandy","NA"
0.28700875,0.272727273,"Dry and Sandy","NA"
0.256283622,0.454545455,"Dry and Sandy","NA"
0.262839599,0.545454545,"Dry and Sandy","NA"
0.240966463,0.727272727,"Dry and Sandy","NA"
0.254410486,0.818181818,"Dry and Sandy","NA"
0.234924175,1,"Dry and Sandy","NA"
0.353473918,0,"Humid and Sandy","NA"
0.335347054,0.181818182,"Humid and Sandy","NA"
0.335347054,0.272727273,"Humid and Sandy","NA"
0.330029894,0.454545455,"Humid and Sandy","NA"
0.335347054,0.545454545,"Humid and Sandy","NA"
0.305135614,0.727272727,"Humid and Sandy","NA"
0.256283622,0.818181818,"Humid and Sandy","NA"
0.235649303,1,"Humid and Sandy","NA"
0.315347054,0,"Dry and Humus","NA"
0.283987607,0.181818182,"Dry and Humus","NA"
0.303262478,0.272727273,"Dry and Humus","NA"
0.274924175,0.454545455,"Dry and Humus","NA"
0.260029894,0.545454545,"Dry and Humus","NA"
0.259818455,0.727272727,"Dry and Humus","NA"
0.283987607,0.818181818,"Dry and Humus","NA"
0.265860743,1,"Dry and Humus","NA"
0.323051038,0,"Humid and Humus","NA"
0.305135614,0.181818182,"Humid and Humus","NA"
0.314199046,0.272727273,"Humid and Humus","NA"
0.30211447,0.454545455,"Humid and Humus","NA"
0.323262478,0.545454545,"Humid and Humus","NA"
0.314199046,0.727272727,"Humid and Humus","NA"
0.323262478,0.818181818,"Humid and Humus","NA"
0.274199046,1,"Humid and Humus","NA"
0.34743163,0,"Dry and Limy","NA"
0.341691591,0.181818182,"Dry and Limy","NA"
0.296072182,0.272727273,"Dry and Limy","NA"
0.310398761,0.454545455,"Dry and Limy","NA"
0.296072182,0.545454545,"Dry and Limy","NA"
0.31743163,0.727272727,"Dry and Limy","NA"
0.329304766,0.818181818,"Dry and Limy","NA"
0.308156758,1,"Dry and Limy","NA"
0.338368198,0,"Humid and Limy","NA"
0.295014984,0.181818182,"Humid and Limy","NA"
0.27199384,0.272727273,"Humid and Limy","NA"
0.271903031,0.454545455,"Humid and Limy","NA"
0.29220528,0.545454545,"Humid and Limy","NA"
0.285347054,0.727272727,"Humid and Limy","NA"
0.30211447,0.909090909,"Humid and Limy","NA"
0.999998728,0,"Dry and Sandy","Anti-Tank"
0.999998728,0.090909091,"Dry and Sandy","Anti-Tank"
0.999998728,0.272727273,"Dry and Sandy","Anti-Tank"
0.906343265,0.363636364,"Dry and Sandy","Anti-Tank"
0.658609459,0.545454545,"Dry and Sandy","Anti-Tank"
0.610271155,0.636363636,"Dry and Sandy","Anti-Tank"
0.453171669,0.818181818,"Dry and Sandy","Anti-Tank"
0.442446541,0.909090909,"Dry and Sandy","Anti-Tank"
0.999998728,0,"Humid and Sandy","Anti-Tank"
0.999998728,0.090909091,"Humid and Sandy","Anti-Tank"
0.975829576,0.272727273,"Humid and Sandy","Anti-Tank"
0.815708945,0.363636364,"Humid and Sandy","Anti-Tank"
0.655588315,0.545454545,"Humid and Sandy","Anti-Tank"
0.628398019,0.636363636,"Humid and Sandy","Anti-Tank"
0.504531116,0.818181818,"Humid and Sandy","Anti-Tank"
0.474319677,0.909090909,"Humid and Sandy","Anti-Tank"
0.719032338,0,"Dry and Humus","Anti-Tank"
