objectid,site_id,descr_type,descr,commodity,approx_lon,approx_lat
1,AR00002,Resources,"Using an average Reynolds Member thickness of 56.7 m yields the following general aquifer characteristics: hydraulic conductivity of 5.8 x 10-6 m/s; transmissivity of the aquifer is 3.3 x 10-4 m2/s; and, storativity of the aquifer is 2.2 x 10-5. Estimation of the Reynolds Member, Smackover Formation has been estimated using the relation: Lithium Resource = Paverage  VAquifer  Caverage, where Paverage = Average global block model porosity (11.6%) calculated by using the volume-weighted average porosity of the brine units and their respective unit areas; VAquifer = Total volume of the Reynolds Member aquifer (30.427 km3); and Caverage is the average concentration of Li in brine that was collected at the brine supply wells (164.9 mg/L Li). The main Maiden Inferred Lanxess Li-Brine Resource is estimated at 580,000 tonnes of elemental Li (639,000 tons elemental Li; Table 1). The total lithium carbonate equivalent (LCE) for the main resource is 3,086,000 tonnes LCE (3,401,000 tons LCE).",lithium; bromine,-92.7791,33.1686
2,AR00002,Site,"The Lanxess Property is located south and west of the City of El Dorado in Union County, Arkansas, U.S. The southern and western edges of the Property border the State of Louisiana and Columbia County, respectively. The Property encompasses Townships 16-19 South and Ranges 15-18 West of the 5th Meridian. The Property center is at: UTM 520600 Easting, 3670000 Northing, Zone 15N, NAD83. The land package is 150,081.81 acres that covers over 607 km2 (>234 square miles). Of the total land package, 142,881.81 acres are unitized and approximately 7,200 acres occur outside the unit boundaries.",lithium; bromine,-93.1025,33.2484
3,AR00005,Resources,"The aquifer associated with the Upper and Middle Smackover formations is a confined aquifer situated between upper- and lower-bounding aquitards. The average hydraulic conductivity is 4.4 x 10-7 m/s, transmissivity is 2.7 x 10-5 m2/s and storativity of the aquifer is 2.4 x 10-5. An average effective porosity of 10.1% was geostatistically-derived for the main resource. The maiden inferred Tetra lithium-brine resource estimation, which is presented as a total (or global value), was estimated using the following relation in consideration of the North and South resource areas, and the Upper and Middle Smackover formations within those resource areas: Lithium Resource = Total Volume of the Brine-Bearing Aquifer  Average Effective Porosity  Percentage of Brine in the Pore Space  Average Concentration of Lithium in the Brine. The main maiden inferred Tetra lithium-brine resource is estimated at 151,000 tonnes of elemental Li (166,000 tons elemental Li; Table 1). The total lithium carbonate equivalent (LCE) for the main resource is 802,000 tonnes LCE (884,000 tons LCE).",lithium,-93.5135,33.2843
4,AR00005,Site,"The property encompasses Townships 16-17 South and Ranges 22-24 West of the 5th Meridian. The center of Tetra Property is located approximately 24 km (15 miles) west of the City of Magnolia in Lafayette and Columbia Counties, Arkansas, United States. Coordinates for the property center are: Latitude 33.2843 and Longitude -93.5135; or Universal Transverse Mercator 452185.15 Easting, 3682922.78 Northing, Zone 15N, North American Datum 83. The Tetra Property consists of 11,033 net mineral hectares (27,262 net mineral acres) and covers about 110 km2 (42 square miles) and is comprised of 489 land tracts containing 802 individual leases and 8 salt water (brine) deeds from private mineral owners.",lithium; boron; gypsum,-116.417546,34.753293
5,AR00005,Geology,"The focus of the mineral resource estimate is the Upper and Middle Smackover formations. The Upper Smackover Formation consists of clean, porous, ooidal grainstone and other less porous materials. Directly below the Upper Smackover Formation is the Middle Formation composed of porous materials identified from the electric logs. Both formations are laterally continuous across the entire Tetra Property. The Upper and Middle Smackover formations are also extended in a north-south orientation due to the presence of an east-west trending normal fault on the Tetra Property. It should be noted that based upon the porosities and permeabilities from the core plug samples and electric well logs within the Upper and Middle Smackover formations these two units will act as a single hydrogeological unit. That is, there is no laterally continuous low permeability layer or confining unit separating the Upper Smackover Formation from the Middle Smackover Formation.",lithium; potash; boron; zinc; lead; sodium; potassium; calcium; magnesium; strontium; barium; rubidium; cesium; iron; manganese; silica; chloride,-115.62648,33.228823
6,CA00002,Resources,"The only by-product reported here is lithium. The exact nature of the lithium mineralization is unclear. It is thought to be associated with the interbedded clays, and a marked negative grade correlation with Boron does exist. In addition, historical assays has intermittent lithium analyses, and by convention non-assayed intervals are assigned a zero grade. Current efforts are under way in determining the leaching potential of lithium from the clays. It should be noted that due to these factors, and to the fact that lithium is reported as a by-product, and thus within the higher grade boron zones, the reported lithium grade is significantly lower than some of the higher grade intersections seen.",lithium; potash; boron; zinc; lead; sodium; potassium; calcium; magnesium; strontium; barium; rubidium; cesium; iron; manganese; silica; chloride,-115.716942,33.238405
7,CA00002,Geology,"The main borate deposit area lies between 350 m to 450 m below the current surface. The deposit comprises a sequence of mudstone and tuff. The borate mineralization occurs primarily as colemanite (2CaO 3B2O3 5H2O) in thinly laminated silt, clay and gypsum beds. In plan view, the concentration of boron-rich evaporites is roughly ellipsoidal with the long axis trending N40-50W. A zone of >5% B2O3 mineralization, ranging in thickness from 20 m to 68 m (70 ft to 225 ft), is approximately 600 m wide and 2,500 m long (Figure 4.3 in May 2017 Prospectus). Boron is believed to have been sourced from thermal waters that flowed from hot springs in the region during times of active volcanism. These hot springs vented into the Hector Basin that contained a large desert lake. Borates were precipitated as the thermal waters entered the lake and cooled or as the lake waters evaporated and became saturated with boron. Based on assay results, it appears if mineralization took place in several cycles, resulting in somewhat distinct mineralized horizons.",lithium; tungsten; salt; borax,-117.327,35.717
8,CA00003,Geology,"""Lithium occurs in the Salton Sea KGRA fluids, presumably as lithium chloride, since the predominant anion is chloride, with small amounts of bromide, fluoride, and sulfate also present. The major cations present in these geothermal fluids are sodium, calcium, potassium, and ammonia, with minor amounts of magnesium, rubidium, and cesium also present.""",lithium,-81.355926,35.220551
9,CA00060,Geology,"""Searles Lake is underlain by 693 m of saline mineral layers that alternate with layers of mud and clay. Below this level to a depth of 915 m is arkose, deposited as an alluvial fan by intermittent streams. Quartz monzonite bedrock underlies the arkose. The saline minerals were deposited during dry periods when the lake shrank to a low level or to dryness. Mud and clay were deposited in a deep perennial lake during pluvial times. The saline layers contain an uncommon variety of saline mineral species. The chemical composition of the brine and the minerals in each saline layer depended on the chemical composition of the inflowing water at that time and on climatic factors such as temperature, precipitation, and evaporation.""",lithium,-81.313952,35.33629
10,NC00002,Geology,"The TinSpodumene Belt (TSB) along the border of North and South Carolina, southeastern USA, is composed of hundreds of en echelon dikes intruded into amphibolite-facies mica schist and amphibolite. The spodumene pegmatites are unzoned and consist of medium- to very coarse-grained spodumene, plagioclase, K-feldspar, quartz, muscovite, and accessory amounts of beryl, manganoan fluorapatite, triphylite, and cassiterite. The pegmatitic fabric is replaced by a fine-grained saccharoidal albite  quartz fabric that also heals fractures in spodumene and feldspar. Spodumene typically contains about 1% iron oxide, giving the mineral a light green color. Muscovite contains 12 wt% FeO and a trace of sodium (0.20.6 wt% Na2O). The spodumene pegmatites are sheared, especially in proximity to regional shear-zones, but are not folded.",lithium; tin,-81.341508,35.230711
